cue,count_present,abandoned_rate_when_present,abandoned_rate_when_absent,difference
rust,15,0.9333333333333333,0.25,0.6833333333333333
visible_warning_tag,5,1.0,0.37037037037037035,0.6296296296296297
missing_seat,4,1.0,0.38181818181818183,0.6181818181818182
missing_handlebar_or_grip,3,1.0,0.39285714285714285,0.6071428571428572
weathered_lock,3,1.0,0.39285714285714285,0.6071428571428572
dust_debris,21,0.8095238095238095,0.21052631578947367,0.5989974937343359
missing_wheel,2,1.0,0.40350877192982454,0.5964912280701755
flat_tire,1,1.0,0.41379310344827586,0.5862068965517242
surface_wear,7,0.8571428571428571,0.36538461538461536,0.49175824175824173
damaged_seat,11,0.6363636363636364,0.375,0.26136363636363635
missing_major_part,0,,0.423728813559322,
broken_chain,0,,0.423728813559322,
bent_wheel,0,,0.423728813559322,
overgrown_or_buried,0,,0.423728813559322,
occluded_or_cluttered,0,,0.423728813559322,
bad_angle_or_crop,0,,0.423728813559322,
